17159 [main] INFO  com.routePerfect.tests.TestBase - Start test loginTest
32135 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
32190 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
32191 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
32214 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
32215 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
32255 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: [class='Icon Icon--close']] Using method By.cssSelector: [class='Icon Icon--close']
32996 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
38120 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [class='Icon Icon--close']
38120 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [placeholder='Add a destination or a region']
38137 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [placeholder='Add a destination or a region']
38137 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [placeholder='Add a destination or a region']
38154 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: [placeholder='Add a destination or a region']] Using method By.cssSelector: [placeholder='Add a destination or a region']
38328 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [placeholder='Add a destination or a region']
38340 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: [placeholder='Add a destination or a region']] Using method By.cssSelector: [placeholder='Add a destination or a region']
38369 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.cssSelector: [placeholder='Add a destination or a region']
38381 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> css selector: [placeholder='Add a destination or a region']] Using method By.cssSelector: [placeholder='Add a destination or a region']
38559 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //*[contains(text(),'Birmingham, ')]
38884 [main] INFO  com.routePerfect.tests.TestBase - Find happened on [[ChromeDriver: chrome on MAC (6fd396fe8f56f426f5b260821f83b737)] -> xpath: //*[contains(text(),'Birmingham, ')]] Using method By.xpath: //*[contains(text(),'Birmingham, ')]
39163 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //span[@class='ItineraryElement-location--cityName'][contains(text(),'Birmingham')]
44206 [main] INFO  com.routePerfect.tests.TestBase - Find happened on null Using method By.xpath: //span[@class='ItineraryElement-location--cityName'][contains(text(),'Birmingham')]
44207 [main] INFO  com.routePerfect.tests.TestBase - Stop testaddDestinationTest
